"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","ntree","mtry","B","mean","lower","upper"
"Random Forest","accuracy.all","none",,,200,2,50,0.944041025641026,0.934307692307692,0.950025641025641
"Random Forest","accuracy.all","none",,,600,2,50,0.943876923076923,0.937102564102564,0.951282051282051
"Random Forest","accuracy.all","none",,,400,4,50,0.943415384615385,0.935102564102564,0.95025641025641
"Random Forest","accuracy.all","none",,,400,2,50,0.943241025641026,0.936641025641026,0.950769230769231
"Random Forest","accuracy.all","none",,,200,4,50,0.943107692307692,0.934589743589744,0.950820512820513
"Random Forest","accuracy.all","none",,,200,8,50,0.943066666666667,0.935615384615385,0.950820512820513
"Random Forest","accuracy.all","none",,,800,6,50,0.942974358974359,0.937153846153846,0.95025641025641
"Random Forest","accuracy.all","none",,,400,6,50,0.942810256410256,0.935051282051282,0.949846153846154
"Random Forest","accuracy.all","none",,,600,6,50,0.942728205128205,0.935615384615385,0.94974358974359
"Random Forest","accuracy.all","none",,,800,4,50,0.942594871794872,0.935615384615385,0.951102564102564
"Random Forest","accuracy.all","none",,,800,2,50,0.942348717948718,0.932435897435897,0.950538461538462
"Random Forest","accuracy.all","none",,,800,8,50,0.942328205128205,0.934820512820513,0.949230769230769
"Random Forest","accuracy.all","none",,,600,8,50,0.942317948717949,0.935384615384615,0.950025641025641
"Random Forest","accuracy.all","none",,,800,10,50,0.941948717948718,0.933846153846154,0.950076923076923
"Random Forest","accuracy.all","none",,,400,8,50,0.941866666666667,0.933076923076923,0.947974358974359
"Random Forest","accuracy.all","none",,,600,4,50,0.941784615384615,0.934589743589744,0.948769230769231
"Random Forest","accuracy.all","none",,,200,6,50,0.941538461538462,0.934076923076923,0.949794871794872
"Random Forest","accuracy.all","none",,,600,10,50,0.941528205128205,0.933564102564103,0.94951282051282
"Random Forest","accuracy.all","none",,,200,10,50,0.941353846153846,0.933846153846154,0.948717948717949
"Random Forest","accuracy.all","none",,,400,10,50,0.940984615384615,0.934589743589744,0.946205128205128
