"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","ntree","mtry","B","mean","lower","upper"
"Random Forest","accuracy.all","oversample",,3,200,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,200,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,200,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,200,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,200,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,400,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,400,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,400,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,400,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,400,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,600,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,600,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,600,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,600,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,600,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,800,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,800,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,800,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,800,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,3,800,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,200,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,200,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,200,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,200,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,200,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,400,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,400,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,400,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,400,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,400,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,600,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,600,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,600,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,600,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,600,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,800,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,800,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,800,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,800,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,5,800,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,200,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,200,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,200,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,200,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,200,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,400,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,400,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,400,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,400,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,400,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,600,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,600,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,600,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,600,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,600,10,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,800,2,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,800,4,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,800,6,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,800,8,50,1,1,1
"Random Forest","accuracy.all","oversample",,7,800,10,50,1,1,1
