"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","ntree","mtry","B","mean","lower","upper"
"Random Forest","accuracy.all","undersample",2000,,800,2,50,0.94268717948718,0.938461538461538,0.947692307692308
"Random Forest","accuracy.all","undersample",2000,,200,2,50,0.942492307692308,0.934589743589744,0.951564102564102
"Random Forest","accuracy.all","undersample",2000,,600,2,50,0.942194871794872,0.935897435897436,0.949230769230769
"Random Forest","accuracy.all","undersample",2000,,400,2,50,0.941815384615385,0.934589743589744,0.947974358974359
"Random Forest","accuracy.all","undersample",2000,,800,4,50,0.938974358974359,0.932538461538462,0.947230769230769
"Random Forest","accuracy.all","undersample",2000,,600,4,50,0.938861538461538,0.931,0.946435897435897
"Random Forest","accuracy.all","undersample",1500,,800,2,50,0.938338461538462,0.930487179487179,0.944615384615385
"Random Forest","accuracy.all","undersample",2000,,200,4,50,0.938246153846154,0.93151282051282,0.944615384615385
"Random Forest","accuracy.all","undersample",2000,,400,4,50,0.938225641025641,0.929230769230769,0.943589743589744
"Random Forest","accuracy.all","undersample",1500,,600,2,50,0.938194871794872,0.930487179487179,0.946717948717949
"Random Forest","accuracy.all","undersample",1500,,200,2,50,0.938153846153846,0.93025641025641,0.946717948717949
"Random Forest","accuracy.all","undersample",1500,,400,2,50,0.937753846153846,0.928897435897436,0.944897435897436
"Random Forest","accuracy.all","undersample",2000,,600,6,50,0.937641025641026,0.928948717948718,0.944666666666667
"Random Forest","accuracy.all","undersample",2000,,400,6,50,0.937066666666667,0.927589743589744,0.946666666666667
"Random Forest","accuracy.all","undersample",2000,,200,6,50,0.936717948717949,0.928435897435897,0.944435897435897
"Random Forest","accuracy.all","undersample",2000,,800,6,50,0.936338461538462,0.928666666666667,0.943641025641026
"Random Forest","accuracy.all","undersample",2000,,600,8,50,0.936235897435897,0.928666666666667,0.944615384615385
"Random Forest","accuracy.all","undersample",2000,,400,8,50,0.936051282051282,0.928153846153846,0.942846153846154
"Random Forest","accuracy.all","undersample",2000,,800,8,50,0.935394871794872,0.925871794871795,0.943589743589744
"Random Forest","accuracy.all","undersample",2000,,200,8,50,0.934851282051282,0.926153846153846,0.942846153846154
"Random Forest","accuracy.all","undersample",2000,,600,10,50,0.934748717948718,0.927025641025641,0.941538461538462
"Random Forest","accuracy.all","undersample",2000,,400,10,50,0.934707692307692,0.926102564102564,0.943076923076923
"Random Forest","accuracy.all","undersample",1500,,800,4,50,0.934461538461538,0.926666666666667,0.941820512820513
"Random Forest","accuracy.all","undersample",1500,,400,4,50,0.934082051282051,0.925025641025641,0.941358974358974
"Random Forest","accuracy.all","undersample",1500,,600,4,50,0.933733333333333,0.92325641025641,0.941820512820513
"Random Forest","accuracy.all","undersample",2000,,800,10,50,0.933476923076923,0.925641025641026,0.940794871794872
"Random Forest","accuracy.all","undersample",2000,,200,10,50,0.9332,0.925589743589744,0.941076923076923
"Random Forest","accuracy.all","undersample",1500,,400,6,50,0.932430769230769,0.925128205128205,0.93874358974359
"Random Forest","accuracy.all","undersample",1500,,200,4,50,0.93214358974359,0.924333333333333,0.938512820512821
"Random Forest","accuracy.all","undersample",1500,,800,6,50,0.931815384615385,0.922051282051282,0.942051282051282
"Random Forest","accuracy.all","undersample",1500,,200,6,50,0.931138461538462,0.919717948717949,0.944102564102564
"Random Forest","accuracy.all","undersample",1500,,600,6,50,0.930851282051282,0.922461538461538,0.938282051282051
"Random Forest","accuracy.all","undersample",1000,,800,2,50,0.929507692307692,0.921948717948718,0.93748717948718
"Random Forest","accuracy.all","undersample",1500,,600,8,50,0.928953846153846,0.918179487179487,0.937769230769231
"Random Forest","accuracy.all","undersample",1500,,400,10,50,0.928810256410256,0.921435897435897,0.936692307692308
"Random Forest","accuracy.all","undersample",1500,,800,8,50,0.928605128205128,0.916871794871795,0.936923076923077
"Random Forest","accuracy.all","undersample",1500,,600,10,50,0.928594871794872,0.92125641025641,0.936923076923077
"Random Forest","accuracy.all","undersample",1500,,200,10,50,0.928112820512821,0.92,0.935384615384615
"Random Forest","accuracy.all","undersample",1000,,400,2,50,0.927969230769231,0.919435897435897,0.935948717948718
"Random Forest","accuracy.all","undersample",1500,,800,10,50,0.927846153846154,0.918820512820513,0.935435897435897
"Random Forest","accuracy.all","undersample",1000,,200,2,50,0.927671794871795,0.918692307692308,0.938282051282051
"Random Forest","accuracy.all","undersample",1000,,600,2,50,0.927651282051282,0.918692307692308,0.937307692307692
"Random Forest","accuracy.all","undersample",1500,,200,8,50,0.927476923076923,0.919717948717949,0.935666666666667
"Random Forest","accuracy.all","undersample",1500,,400,8,50,0.927046153846154,0.918128205128205,0.936
"Random Forest","accuracy.all","undersample",1000,,200,4,50,0.919866666666667,0.908615384615385,0.926717948717949
"Random Forest","accuracy.all","undersample",1000,,400,4,50,0.919794871794872,0.905538461538462,0.930589743589744
"Random Forest","accuracy.all","undersample",1000,,600,4,50,0.918687179487179,0.905589743589744,0.930076923076923
"Random Forest","accuracy.all","undersample",1000,,800,4,50,0.918194871794872,0.906384615384615,0.92951282051282
"Random Forest","accuracy.all","undersample",1000,,600,6,50,0.915907692307692,0.903076923076923,0.928205128205128
"Random Forest","accuracy.all","undersample",1000,,200,6,50,0.915579487179487,0.903769230769231,0.926948717948718
"Random Forest","accuracy.all","undersample",1000,,400,6,50,0.914358974358974,0.901435897435897,0.924384615384615
"Random Forest","accuracy.all","undersample",1000,,800,6,50,0.914020512820513,0.904051282051282,0.923923076923077
"Random Forest","accuracy.all","undersample",1000,,600,8,50,0.913271794871795,0.9,0.922333333333333
"Random Forest","accuracy.all","undersample",1000,,800,8,50,0.913046153846154,0.899435897435897,0.925128205128205
"Random Forest","accuracy.all","undersample",1000,,200,8,50,0.912676923076923,0.901205128205128,0.925461538461539
"Random Forest","accuracy.all","undersample",1000,,400,8,50,0.911753846153846,0.901769230769231,0.921025641025641
"Random Forest","accuracy.all","undersample",1000,,600,10,50,0.9112,0.898128205128205,0.923282051282051
"Random Forest","accuracy.all","undersample",1000,,200,10,50,0.910533333333333,0.901025641025641,0.920051282051282
"Random Forest","accuracy.all","undersample",1000,,800,10,50,0.910092307692308,0.900512820512821,0.919538461538462
"Random Forest","accuracy.all","undersample",1000,,400,10,50,0.9092,0.895128205128205,0.920333333333333
