"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","none",,,50,0.75,12,8,50,0.942666666666667,0.934871794871795,0.952871794871795
"XGBoost","accuracy.all","none",,,100,0.5,12,2,50,0.942574358974359,0.935615384615385,0.951564102564102
"XGBoost","accuracy.all","none",,,200,0.5,10,4,50,0.942441025641026,0.935102564102564,0.948769230769231
"XGBoost","accuracy.all","none",,,100,0.5,10,12,50,0.9424,0.937435897435897,0.950307692307692
"XGBoost","accuracy.all","none",,,150,0.5,12,10,50,0.942338461538462,0.935846153846154,0.94951282051282
"XGBoost","accuracy.all","none",,,50,0.5,10,10,50,0.942123076923077,0.935333333333333,0.950871794871795
"XGBoost","accuracy.all","none",,,100,0.5,12,8,50,0.941989743589744,0.934589743589744,0.949051282051282
"XGBoost","accuracy.all","none",,,200,0.5,12,10,50,0.941979487179487,0.933333333333333,0.950538461538462
"XGBoost","accuracy.all","none",,,250,0.9,6,2,50,0.941958974358974,0.935102564102564,0.950025641025641
"XGBoost","accuracy.all","none",,,100,0.5,12,6,50,0.94185641025641,0.935102564102564,0.951102564102564
"XGBoost","accuracy.all","none",,,200,0.75,12,4,50,0.941805128205128,0.935564102564103,0.946666666666667
"XGBoost","accuracy.all","none",,,200,0.9,10,12,50,0.941774358974359,0.933794871794872,0.950769230769231
"XGBoost","accuracy.all","none",,,200,0.9,8,4,50,0.941733333333333,0.934589743589744,0.950025641025641
"XGBoost","accuracy.all","none",,,100,0.5,10,8,50,0.94171282051282,0.933564102564103,0.949333333333333
"XGBoost","accuracy.all","none",,,150,0.9,8,10,50,0.941682051282051,0.935051282051282,0.94825641025641
"XGBoost","accuracy.all","none",,,200,0.5,12,12,50,0.941671794871795,0.935333333333333,0.949282051282051
"XGBoost","accuracy.all","none",,,50,0.5,12,2,50,0.941610256410256,0.932820512820513,0.95025641025641
"XGBoost","accuracy.all","none",,,50,0.5,12,8,50,0.9416,0.932538461538462,0.948205128205128
"XGBoost","accuracy.all","none",,,250,0.5,10,2,50,0.9416,0.932487179487179,0.95025641025641
"XGBoost","accuracy.all","none",,,50,0.5,12,12,50,0.941589743589744,0.934358974358974,0.948205128205128
"XGBoost","accuracy.all","none",,,200,0.75,12,10,50,0.941579487179487,0.933051282051282,0.94974358974359
"XGBoost","accuracy.all","none",,,50,0.75,10,10,50,0.941558974358974,0.935333333333333,0.94774358974359
"XGBoost","accuracy.all","none",,,150,0.75,8,6,50,0.941538461538462,0.933846153846154,0.947692307692308
"XGBoost","accuracy.all","none",,,200,0.5,12,2,50,0.941538461538462,0.932435897435897,0.94951282051282
"XGBoost","accuracy.all","none",,,100,0.5,10,4,50,0.941497435897436,0.934589743589744,0.947974358974359
"XGBoost","accuracy.all","none",,,50,0.5,10,4,50,0.94148717948718,0.933564102564103,0.949
"XGBoost","accuracy.all","none",,,200,0.5,12,4,50,0.941476923076923,0.933794871794872,0.949846153846154
"XGBoost","accuracy.all","none",,,250,0.5,12,2,50,0.941476923076923,0.935102564102564,0.948487179487179
"XGBoost","accuracy.all","none",,,50,0.5,10,6,50,0.941466666666667,0.932769230769231,0.948487179487179
"XGBoost","accuracy.all","none",,,150,0.5,12,2,50,0.941466666666667,0.935615384615385,0.949230769230769
"XGBoost","accuracy.all","none",,,50,0.75,10,2,50,0.941446153846154,0.934538461538462,0.94825641025641
