"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","oversample",,3,50,0.1,2,2,50,0.986687179487179,0.982230769230769,0.991282051282051
"XGBoost","accuracy.all","oversample",,3,50,0.1,2,4,50,0.98614358974359,0.981025641025641,0.990769230769231
"XGBoost","accuracy.all","oversample",,3,50,0.1,2,6,50,0.986553846153846,0.982564102564103,0.990589743589743
"XGBoost","accuracy.all","oversample",,3,50,0.1,2,8,50,0.986676923076923,0.982282051282051,0.991282051282051
"XGBoost","accuracy.all","oversample",,3,50,0.1,2,10,50,0.98708717948718,0.983538461538461,0.990538461538461
"XGBoost","accuracy.all","oversample",,3,50,0.1,2,12,50,0.986574358974359,0.980179487179487,0.990820512820513
"XGBoost","accuracy.all","oversample",,3,50,0.1,4,2,50,0.991261538461538,0.988435897435897,0.994358974358974
"XGBoost","accuracy.all","oversample",,3,50,0.1,4,4,50,0.9916,0.989230769230769,0.994641025641026
"XGBoost","accuracy.all","oversample",,3,50,0.1,4,6,50,0.992010256410256,0.989230769230769,0.994871794871795
"XGBoost","accuracy.all","oversample",,3,50,0.1,4,8,50,0.991394871794872,0.987076923076923,0.994871794871795
"XGBoost","accuracy.all","oversample",,3,50,0.1,4,10,50,0.991282051282051,0.987692307692308,0.994871794871795
"XGBoost","accuracy.all","oversample",,3,50,0.1,4,12,50,0.990851282051282,0.988205128205128,0.994128205128205
"XGBoost","accuracy.all","oversample",,3,50,0.1,6,2,50,0.993989743589744,0.991230769230769,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.1,6,4,50,0.993948717948718,0.991461538461538,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.1,6,6,50,0.994041025641026,0.991282051282051,0.996179487179487
"XGBoost","accuracy.all","oversample",,3,50,0.1,6,8,50,0.993651282051282,0.991,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.1,6,10,50,0.993917948717949,0.991794871794872,0.996410256410256
"XGBoost","accuracy.all","oversample",,3,50,0.1,6,12,50,0.994215384615385,0.990205128205128,0.996923076923077
"XGBoost","accuracy.all","oversample",,3,50,0.1,8,2,50,0.995794871794872,0.993846153846154,0.997948717948718
"XGBoost","accuracy.all","oversample",,3,50,0.1,8,4,50,0.995815384615385,0.993564102564102,0.997435897435897
"XGBoost","accuracy.all","oversample",,3,50,0.1,8,6,50,0.995938461538462,0.993564102564102,0.998230769230769
"XGBoost","accuracy.all","oversample",,3,50,0.1,8,8,50,0.995969230769231,0.994076923076923,0.998230769230769
"XGBoost","accuracy.all","oversample",,3,50,0.1,8,10,50,0.995846153846154,0.993564102564102,0.997948717948718
