"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","undersample",1000,,50,0.1,2,2,50,0.868133333333333,0.851461538461538,0.884615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.1,2,4,50,0.868605128205128,0.855102564102564,0.881076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.1,2,6,50,0.8692,0.854871794871795,0.882666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.1,2,8,50,0.866676923076923,0.852307692307692,0.882897435897436
"XGBoost","accuracy.all","undersample",1000,,50,0.1,2,10,50,0.866892307692308,0.852538461538461,0.880512820512821
"XGBoost","accuracy.all","undersample",1000,,50,0.1,2,12,50,0.870215384615385,0.85025641025641,0.884384615384615
"XGBoost","accuracy.all","undersample",1000,,50,0.1,4,2,50,0.87505641025641,0.859435897435897,0.888769230769231
"XGBoost","accuracy.all","undersample",1000,,50,0.1,4,4,50,0.873641025641026,0.859205128205128,0.887564102564103
"XGBoost","accuracy.all","undersample",1000,,50,0.1,4,6,50,0.874194871794872,0.862512820512821,0.888769230769231
"XGBoost","accuracy.all","undersample",1000,,50,0.1,4,8,50,0.876441025641026,0.865641025641026,0.886666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.1,4,10,50,0.87508717948718,0.859205128205128,0.889846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.1,4,12,50,0.872133333333333,0.857846153846154,0.883128205128205
"XGBoost","accuracy.all","undersample",1000,,50,0.1,6,2,50,0.876164102564103,0.862230769230769,0.891615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.1,6,4,50,0.874369230769231,0.858128205128205,0.890820512820513
"XGBoost","accuracy.all","undersample",1000,,50,0.1,6,6,50,0.874994871794872,0.864615384615385,0.88848717948718
"XGBoost","accuracy.all","undersample",1000,,50,0.1,6,8,50,0.876574358974359,0.863076923076923,0.888538461538461
"XGBoost","accuracy.all","undersample",1000,,50,0.1,6,10,50,0.877323076923077,0.857384615384615,0.893435897435897
"XGBoost","accuracy.all","undersample",1000,,50,0.1,6,12,50,0.877312820512821,0.859717948717949,0.887461538461538
"XGBoost","accuracy.all","undersample",1000,,50,0.1,8,2,50,0.878164102564103,0.866615384615385,0.890769230769231
"XGBoost","accuracy.all","undersample",1000,,50,0.1,8,4,50,0.882420512820513,0.867128205128205,0.891794871794872
"XGBoost","accuracy.all","undersample",1000,,50,0.1,8,6,50,0.879015384615385,0.867128205128205,0.892692307692308
"XGBoost","accuracy.all","undersample",1000,,50,0.1,8,8,50,0.882205128205128,0.874307692307692,0.894923076923077
"XGBoost","accuracy.all","undersample",1000,,50,0.1,8,10,50,0.881282051282051,0.865102564102564,0.893846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.1,8,12,50,0.881630769230769,0.868666666666667,0.894974358974359
"XGBoost","accuracy.all","undersample",1000,,50,0.1,10,2,50,0.881784615384615,0.865820512820513,0.894846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.1,10,4,50,0.883066666666667,0.867179487179487,0.896615384615385
"XGBoost","accuracy.all","undersample",1000,,50,0.1,10,6,50,0.883671794871795,0.863487179487179,0.898230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.1,10,8,50,0.882205128205128,0.864846153846154,0.896230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.1,10,10,50,0.880235897435897,0.870948717948718,0.892307692307692
"XGBoost","accuracy.all","undersample",1000,,50,0.1,10,12,50,0.881487179487179,0.86525641025641,0.899487179487179
"XGBoost","accuracy.all","undersample",1000,,50,0.1,12,2,50,0.886923076923077,0.875846153846154,0.898230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.1,12,4,50,0.884492307692308,0.868461538461538,0.897717948717949
"XGBoost","accuracy.all","undersample",1000,,50,0.1,12,6,50,0.883661538461538,0.871794871794872,0.897589743589744
